(x, y, cap, sonde, angle_sonde)
(0.9438865959187439, 0.8755876508983145, -5.475446644126757, 2.693333, 80.26875)
(0.9525935049976599, 0.8867605026840384, -5.455918970460955, 2.693333, 82.2375)
(0.9525935049976599, 0.8867605026840384, -5.455918970460955, 2.686667, 84.20625)
(0.9525935049976599, 0.8867605026840384, -5.455918970460955, 2.693333, 86.175)
(0.9525935049976599, 0.8867605026840384, -5.455918970460955, 2.846667, 88.14375)
(0.9525935049976599, 0.8867605026840384, -5.455918970460955, 2.866667, 90.1125)
(0.9525935049976599, 0.8867605026840384, -5.455918970460955, 2.866667, 92.08125)
(0.9525935049976599, 0.8867605026840384, -5.455918970460955, 2.866667, 94.05)
(0.9525935049976599, 0.8867605026840384, -5.455918970460955, 2.886667, 96.01875)
(0.9525935049976599, 0.8867605026840384, -5.455918970460955, 2.893333, 97.9875)
(1.0058473057440345, 0.9507394656825544, -5.384002765842467, -1.0, 99.95625)
(1.0058473057440345, 0.9507394656825544, -5.384002765842467, 2.886667, 97.9875)
(1.0058473057440345, 0.9507394656825544, -5.384002765842467, 2.893333, 96.01875)
(1.0058473057440345, 0.9507394656825544, -5.384002765842467, -1.0, 94.05)
(1.0058473057440345, 0.9507394656825544, -5.384002765842467, -1.0, 92.08125)
(1.0058473057440345, 0.9507394656825544, -5.384002765842467, 2.853333, 90.1125)
(1.0058473057440345, 0.9507394656825544, -5.384002765842467, 2.846667, 88.14375)
(1.0058473057440345, 0.9507394656825544, -5.384002765842467, 2.84, 86.175)
(1.0307343526377857, 0.9873827225647995, -5.373616432025809, 2.833333, 84.20625)
(1.0307343526377857, 0.9873827225647995, -5.373616432025809, 2.84, 82.2375)
(1.0307343526377857, 0.9873827225647995, -5.373616432025809, 2.84, 80.26875)
(1.0307343526377857, 0.9873827225647995, -5.373616432025809, 2.846667, 80.26875)
(1.0307343526377857, 0.9873827225647995, -5.373616432025809, 2.846667, 82.2375)
(1.0307343526377857, 0.9873827225647995, -5.373616432025809, 2.7, 84.20625)
(1.0307343526377857, 0.9873827225647995, -5.373616432025809, 2.84, 86.175)
(1.0515599691741908, 1.01735789487825, -5.3372509372874175, 2.84, 88.14375)
(1.0515599691741908, 1.01735789487825, -5.3372509372874175, 2.84, 90.1125)
(1.0515599691741908, 1.01735789487825, -5.3372509372874175, 2.846667, 92.08125)
(1.0515599691741908, 1.01735789487825, -5.3372509372874175, 2.886667, 94.05)
(1.0515599691741908, 1.01735789487825, -5.3372509372874175, -1.0, 96.01875)
(1.0515599691741908, 1.01735789487825, -5.3372509372874175, -1.0, 97.9875)
(1.0515599691741908, 1.01735789487825, -5.3372509372874175, -1.0, 99.95625)
(1.0515599691741908, 1.01735789487825, -5.3372509372874175, -1.0, 97.9875)
(1.0515599691741908, 1.01735789487825, -5.3372509372874175, -1.0, 96.01875)
(1.0754627189716808, 1.0550939658311211, -5.325137672920254, -1.0, 94.05)
(1.0754627189716808, 1.0550939658311211, -5.325137672920254, 2.846667, 92.08125)
(1.0754627189716808, 1.0550939658311211, -5.325137672920254, 2.846667, 90.1125)
(1.0754627189716808, 1.0550939658311211, -5.325137672920254, 2.84, 88.14375)
(1.0754627189716808, 1.0550939658311211, -5.325137672920254, 2.693333, 86.175)
(1.0754627189716808, 1.0550939658311211, -5.325137672920254, 2.84, 84.20625)
(1.0754627189716808, 1.0550939658311211, -5.325137672920254, 2.84, 82.2375)
(1.099977424806006, 1.0948552872335424, -5.299061453904555, 2.84, 80.26875)
(1.099977424806006, 1.0948552872335424, -5.299061453904555, 2.846667, 79.9875)
(1.099977424806006, 1.0948552872335424, -5.299061453904555, 2.84, 80.26875)
(1.099977424806006, 1.0948552872335424, -5.299061453904555, 2.84, 82.2375)
